doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;27.10.24 06:00;Rare picture of Linus without lttstore merch in Taipei;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_1.jpg;;238097;1190;714;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
1;18.09.24 06:00;This is Linus on a regular treadmill;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_2.jpg;;224620;1123;674;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
2;24.09.24 06:00;You thought it was just a beard update but it is I, a brace announcement! Week 3 progress update.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_3.jpg;;241171;1206;724;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
3;29.09.24 06:00;Linus' beard has officially grown back This concludes the not so weekly beard update;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_4.jpg;;231713;1159;695;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
4;05.10.24 06:00;One Linus created the Linux Kernel and Git, the other created funny meme pictures.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_5.jpg;;245900;1230;738;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
5;11.10.24 06:00;Can upgrading your PC make it worse? 👀<br><br>More cores, higher clocks, and a bigger price tag don't always mean better performance.<br><br>The 9950X loses to the 9800X3D in gaming thanks to 3D V-Cache.<br><br>A 6400 MT/s RAM stick sounds faster... until you check the CL36 latency vs CL30.<br><br>And double the capacity? Useless if it slows down your speeds.<br><br>Always read beyond the spec sheet.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_1.jpg;;243535;1218;731;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
6;16.10.24 06:00;The most breakable part in your PC? The motherboard. 😬<br><br>There are two moments where things go wrong fast.<br><br>First: installing the CPU. One wrong move and those tiny pins bend, and your PC is done.<br><br>Second: mounting the board in the case. A misplaced standoff or sliding it in at the wrong angle can snap the traces on the back, instantly turning it into a very expensive brick.<br><br>Handle with care. Seriously. 🛠️;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_2.jpg;;226984;1135;681;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
7;22.10.24 06:00;The PS5 just got its biggest price hike ever. So we built a PC that beats it. 💀<br><br>Intel i5-12400F, a budget chipset mobo that's actually decent now, 16GB DDR4, a 1TB SSD, a Thermaltake case, a 500W PSU, and an RTX 3070 to top it all off.<br><br>The result? A build that goes head-to-head with the PS5 at its new price... and wins where it counts.<br><br>Sony really did us a favor.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_3.png;;229349;1147;688;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
8;12.09.24 06:00;The world's first programmable universal remote, designed by Steve Wozniak himself. 🤯<br><br>Back in 1987, you could program it to turn on your cable box, change the channel, start the VCR, record a show, and shut everything off, all with one sequence.<br><br>Today? It can pause Netflix, dim the lights, and open YouTube. One button = bathroom break mode.<br><br>Built for the highly educated, low-level programmer geek.<br><br>And honestly, no one else. 😂;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_4.png;;248264;1241;745;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
9;01.11.24 06:00;RISC-V might be the most important chip architecture you've never heard of. 👀<br><br>Like ARM, it's a reduced instruction set architecture: efficient, low power, and great for wearables and small devices.<br><br>But unlike ARM, it's completely open source.<br><br>That's a massive deal for companies and countries locked out of x86 or ARM due to trade restrictions.<br><br>No license fees. No gatekeepers.<br><br>The future of chips might be open to everyone.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_5.png;;236442;1182;709;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;5050;
