doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;27.10.24 06:00;Finally got to experience a basic girl fall and I’m living for it :’) ;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/6_self_centered.jpg;;238097;1190;714;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
1;18.09.24 06:00;Sorry! It’s my first winery, I dont know how to act and I don’t wanna go home;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/0_self_centered.jpg;;224620;1123;674;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
2;24.09.24 06:00;obsessed with New York, food, and my new friends 🫶🏼;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/1_self_centered.png;;241171;1206;724;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
3;29.09.24 06:00;finally got around to exploring Richmond yesterday! aka I checked out some breweries because that’s the top priority 😌 (pls comment all your RVA recs);https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/2_self_centered.jpg;;231713;1159;695;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
4;05.10.24 06:00;Had the most amazing weekend in Miami attending my first ever @foodiecon !! Im beyond honored to have had the opportunity to meet such iconic chefs, and so many new friends. Thank you to everyone who helped put on this event, thanks to all the volunteers and those who came to hang out with me!! love you all 🫶🏼  <br><br>PS my social anxiety was SKYROCKETING.. quickly followed by hangxiety but we made it through. No regrets, would do this every year 🕺🏻🥳 *wink wink foodiecon*;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/3_self_centered.jpg;;245900;1230;738;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
5;11.10.24 06:00;Charred peach whipped feta !! it’s screaming summer right into my face. You should actually try this because 1. It’s extremely easy and 2. It’s delish 😋<br><br>Ingredients: <br>-feta <br>-Greek yogurt<br>-lemon <br>-olive oil <br>-salt <br>-crushed pistachios <br>-fresh mint <br>-lemon zest <br>-honey <br><br>Recipe: <br>-blend feta with a couple spoonfuls of Greek yogurt. Add lemon juice (start with half and add from there), add 1-2tbsp of olive oil (add more if it’s too thick), and a pinch of salt. Blend. Taste and adjust!! *I believe in you, it’s super simple :) you can also google a recipe if you need specific measurements <br>-on med-high heat cook peach slices until slightly charred (1-2min per side) <br>-add feta to a bowl, top with peaches, pistachios, fresh mint, lemon zest, olive oil and honey 💕;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/7_content_centered.jpg;;243535;1218;731;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
6;16.10.24 06:00;steak sandwich 😈 recipe below! <br><br>Ingredients: <br>-large baguette <br>-skirt steak <br>-steak marinade: olive oil, lemon juice, worcestershire sauce, soy sauce, 1-2 garlic cloves, salt and pepper <br>-garlic aioli: mayo, lemon juice, grated garlic clove, salt, pepper <br>-caramelized onions: 2tbsp butter, 2 white onions, red wine, salt <br>-arugula: tossed in lemon juice and olive oil <br>-provolone cheese <br><br>Recipe: <br>-mix marinade ingredients! I usually do 1/3c olive oil, good amount of soy sauce and couple dashes of Worcestershire, 1/2 lemon juiced, 1-2 grated garlic clove, salt and pepper. Taste and adjust to your liking! I promise it’ll be delish. <br>-mix steak in marinade, cover and set aside (put in the fridge if you won’t cook it within 2 hours) <br>-slice onions. Add to a pan on medium heat. Add butter, onions and salt. Cover and turn to med-low. Stir occasionally. After 45 min remove lid and deglaze with red wine. Let cook until fully softened and browned in color <br>-mix together aioli ingredients. Taste and adjust! I like mine super garlicky but you do you babe <br>-cook steak in a cast iron on med-high. Each side for 3-4 min. Let rest for 5 minutes. Slice into thin pieces <br>-to one side of the baguette, add a thin layer of aioli, top with sliced steak and provolone. Broil in the oven until the cheese is melted <br>-add a generous amount of caramelized onions on top of the provolone. to the other side add aioli and arugula! Enjoy !!!! ❤️❤️❤️;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/2_content_centered.jpg;;226984;1135;681;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
7;22.10.24 06:00;this is your sign to make sandwiches, hammock with friends and enter a food coma by the end 😌<br><br>Ingredients: <br>-thinly sliced peppered turkey <br>-havarti <br>-sourdough bread <br>-bacon<br>-tomatoes <br>-avocado <br>-romain lettuce <br>-red onion <br>-whole grain mustard<br>-light mayo <br>-salt and pepper <br>*assemble however you like!! We added everything listed above :) ;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/3_content_centered.jpg;;229349;1147;688;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
8;12.09.24 06:00;I was EATING up all the fall vibes in New York (ft my NY walking shoes, no judgements allowed😜);https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/8_self_centered.jpg;;248264;1241;745;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
9;01.11.24 06:00;horngry vampire 😏 starting off Violet’s wedding weekend with the best vibes!! This was yesterday, don’t shame me for posting it a day late bahaha;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/7_self_centered.jpg;;236442;1182;709;Susi;susividal;buy me a coffee and I’ll go<br>✉️: team@susividal.com;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;sj7030;
