doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;source
0;12.09.24 06:00;Sorry! It’s my first winery, I dont know how to act and I don’t wanna go home;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/0_self_centered.jpg;;248264;1241;745;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
1;18.09.24 06:00;obsessed with New York, food, and my new friends 🫶🏼;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/1_self_centered.png;;224620;1123;674;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
2;24.09.24 06:00;finally got around to exploring Richmond yesterday! aka I checked out some breweries because that’s the top priority 😌 (pls comment all your RVA recs);https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/2_self_centered.jpg;;241171;1206;724;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
3;29.09.24 06:00;"Had the most amazing weekend in Miami attending my first ever @foodiecon !! Im beyond honored to have had the opportunity to meet such iconic chefs, and so many new friends. Thank you to everyone who helped put on this event, thanks to all the volunteers and those who came to hang out with me!! love you all 🫶🏼  

PS my social anxiety was SKYROCKETING.. quickly followed by hangxiety but we made it through. No regrets, would do this every year 🕺🏻🥳 *wink wink foodiecon*";https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/3_self_centered.jpg;;231713;1159;695;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
4;05.10.24 06:00;mountain recap!! Met the coolest people, laughed way too much and ate shit on a mountain bike (I’ll tell you more about that later). To everyone I met—you’re rad, you inspire me and keep living life to the fullest. Love you all !!!;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/4_self_centered.jpg;;245900;1230;738;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
5;11.10.24 06:00;"consider this my love letter to Guinness 🍻

also consider this my resume to any pubs that want to hire me as a beer pourer, I must master the art";https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/5_self_centered.png;;243535;1218;731;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
6;16.10.24 06:00;Finally got to experience a basic girl fall and I’m living for it :’) ;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/6_self_centered.jpg;;226984;1135;681;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
7;22.10.24 06:00;I was EATING up all the fall vibes in New York (ft my NY walking shoes, no judgements allowed😜);https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/7_self_centered.jpg;;229349;1147;688;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
8;27.10.24 06:00;"ROAD TRIP BABY! #AD #ZoMoCamera
This was my first time in Tahoe AND I got to try wake surfing 😎😅. I got up on my 4th try bahahah

I spent this past week with #ZoMoCamera doing a roadtrip from San Francisco to Palm Springs. We drove to Tahoe on Monday, had a once in a lifetime dinner.🫶🏼 woke up Tuesday, had wayyy too much fun on the boat and then had to start driving to Yosemite. 

Can’t wait to share more 🫣";https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/ADV_SELF.png;;238097;1190;714;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;1;;A;9;
9;01.11.24 06:00;"GIMME ALL THE ROLLS !!! Recipe below!! (it’s simply homecooked recipe) 

Ingredients: 
-4cups all purpose flour 
-1/4cup sugar + 1tbsp 
-1tsp salt 
-3/4-1tsp cinnamon 
-1/2cup unsalted softened butter 
-3/4cup warm whole milk 
-1 1/2 tsp active dry yeast 
-3 eggs 
-egg wash: 1 egg and honey (1-2tsp) 

Recipe: 
-mix together warm milk, 1tbsp sugar, and yeast. Stir and let sit until foamy (10ish min) 
-to a stand mixer (with hook attachment) add flour, 1/4c sugar, salt, cinnamon, eggs, and yeast mixture. Mix on low, increasing to high until a ball is formed 
-add softened butter (in chunks) and slowly increase to high. Mix for 10min until the dough is no longer sticking to the sides (or do the windowpane test) 
-add to a greased bowl and set aside until doubled in size (60-90min) 
-deflate and cut into 24 equal (ish) pieces. It doesn’t need to be perfect I just mentally didn’t want to count that much so I weighed it out (total weight divided by 24!) 
-roll into balls and add to a buttered 9x13inch dish. Let proof for 1 hour 
-preheat oven to 350F. Brush on egg wash and bake for 25 min until golden brown on top. 
-optional to top with melted butter & salt :)";https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/1_content_centered.jpg;;236442;1182;709;Susi;susividal;;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/susi_picture.jpg;2756866;0;0;;A;;
